pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.476412900025025,None,0,0,0,0,,,,,0.01705299998866394,,0.012345399998594075,0.01705299998866394,1.0142584000132047,1.0142584000132047,1.0142584000132047,1.0142584000132047,1.029866700002458,2.015140099974815,2.015140099974815,3.505176800012123,x,1,1.476412900025025,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
150,v,1,1,0,v,1,0.6897659999667667,None,0,1,1,1,,,,,3.5163780999719165,,3.505526299995836,3.5163780999719165,4.517555499973241,4.517555499973241,4.517555499973241,4.517555499973241,4.517555499973241,5.518312399974093,5.518312399974093,6.219651499995962,v,1,0.6897659999667667,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
50,c,2,2,0,c,1,0.2961043000104837,None,0,2,2,2,,,,,6.235882800014224,,6.22003989998484,6.235882800014224,7.220286299998406,7.220286299998406,7.220286299998406,7.220286299998406,7.237694200011902,8.22200279997196,8.22200279997196,8.522091999999247,c,1,0.2961043000104837,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
-150,z,3,3,0,z,1,0.36283140000887215,None,0,3,3,3,,,,,8.538899299979676,,8.522394599975087,8.538899299979676,9.522816799988504,9.522816799988504,9.522816799988504,9.522816799988504,9.539581699995324,10.52377470000647,10.52377470000647,10.89116619998822,z,1,0.36283140000887215,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
-50,x,4,0,1,x,1,0.3787302999990061,None,1,0,4,0,,,,,10.907634800008964,,10.89152780000586,10.907634800008964,11.89286700001685,11.89286700001685,11.89286700001685,11.89286700001685,11.909691600012593,12.89379399997415,12.89379399997415,13.277109600021504,x,1,0.3787302999990061,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
150,v,5,1,1,v,1,0.3528886000276543,None,1,1,5,1,,,,,13.29450600000564,,13.277468000014778,13.29450600000564,14.278855799988378,14.278855799988378,14.278855799988378,14.278855799988378,14.295446300006006,15.279391199990641,15.279391199990641,15.647571099980269,v,1,0.3528886000276543,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
50,c,6,2,1,c,1,0.2703823000192642,None,1,2,6,2,,,,,15.66355639998801,,15.648102800012566,15.66355639998801,16.647469100018498,16.647469100018498,16.647469100018498,16.647469100018498,16.6643559000222,17.64849300001515,17.64849300001515,17.93321950000245,c,1,0.2703823000192642,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
-150,z,7,3,1,z,1,0.5355135999852791,None,1,3,7,3,,,,,17.948602200020105,,17.933598599978723,17.948602200020105,18.93386869999813,18.93386869999813,18.93386869999813,18.93386869999813,18.950539899989963,19.93463829997927,19.93463829997927,20.48627170000691,z,1,0.5355135999852791,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
-50,x,8,0,2,x,1,0.34931080002570525,None,2,0,8,0,,,,,20.501630400016438,,20.48658590001287,20.501630400016438,21.486254599993117,21.486254599993117,21.486254599993117,21.486254599993117,21.503099000023212,22.487221799965482,22.487221799965482,22.837985399994068,x,1,0.34931080002570525,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
150,v,9,1,2,v,1,0.48186110000824556,None,2,1,9,1,,,,,22.854406800004654,,22.83829300000798,22.854406800004654,23.838564399979077,23.838564399979077,23.838564399979077,23.838564399979077,23.856608900008723,24.840335900022183,24.840335900022183,25.324969300010707,v,1,0.48186110000824556,None,,,,,Participant 01,001,2025-10-05_00h04.10.706,Motor sequence task,,2025.1.1,59.89236145112884,2025-10-05 00h04.24.179339 +0530,
