prime_word,prime_gender,target_image,target_gender,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,prime.started,fixation.stopped,prime.stopped,target_picture.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thankyou.started,text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0035398000036366284,0.0166738000116311,0.0166738000116311,22.073075200023595,space,21.929419000050984,None,,,,,,,,,,,,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Interpreter,neutral,m6.jpg,male,0,0,0,m,1.445708299987018,None,0,0,0,50,22.159831100027077,,,,,,,,,22.14911589998519,22.159831100027077,22.574184700031765,22.674360600009095,23.574714299989864,23.574714299989864,23.574714299989864,25.02710130001651,m,1.445708299987018,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Reporter,neutral,f3.jpg,female,1,1,0,f,1.2440650000353344,None,0,1,1,45,25.128699099994265,,,,,,,,,25.093029899988323,25.128699099994265,25.527619300002698,25.644259600027,26.528607000014745,26.528607000014745,26.528607000014745,27.780860500002746,f,1.2440650000353344,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Engineer,masculine,m3.jpg,male,2,2,0,m,0.6912803000304848,None,0,2,2,4,27.82842289999826,,,,,,,,,27.823399299988523,27.82842289999826,28.280583499989007,28.33084870001767,29.281577299989294,29.281577299989294,29.281577299989294,29.983127299987245,m,0.6912803000304848,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Homemaker,feminine,m2.jpg,male,3,3,0,m,0.7678526999661699,None,0,3,3,22,30.023610300035216,,,,,,,,,30.018334400025196,30.023610300035216,30.483012599986978,30.533183499996085,31.484668000019155,31.484668000019155,31.484668000019155,32.26873070001602,m,0.7678526999661699,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Nanny,feminine,f9.jpg,female,4,4,0,f,0.5077286000014283,None,0,4,4,37,32.30053860001499,,,,,,,,,32.294585400028154,32.30053860001499,32.76901240000734,32.801789099990856,33.7701390000293,33.7701390000293,33.7701390000293,34.288336400000844,f,0.5077286000014283,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Secretary,feminine,f4.jpg,female,5,5,0,f,0.48220369999762625,None,0,5,5,27,34.31603039999027,,,,,,,,,34.311091999989,34.31603039999027,34.78753129998222,34.82096620002994,35.78954480000539,35.78954480000539,35.78954480000539,36.27268809999805,f,0.48220369999762625,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Pilot,masculine,f8.jpeg,female,6,6,0,f,0.4396685999818146,None,0,6,6,15,36.30558480002219,,,,,,,,,36.30013139999937,36.30558480002219,36.77280779997818,36.80623769998783,37.77451580000343,37.77451580000343,37.77451580000343,38.225133100000676,f,0.4396685999818146,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Nurse,feminine,m3.jpg,male,7,7,0,m,0.6320541999884881,None,0,7,7,24,38.24365249997936,,,,,,,,,38.23836730001494,38.24365249997936,38.725340500008315,38.758918299979996,39.72633480001241,39.72633480001241,39.72633480001241,40.361032899993006,m,0.6320541999884881,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
Mechanic,masculine,m1.jpg,male,8,8,0,m,0.48701209999853745,None,0,8,8,0,40.389811200031545,,,,,,,,,40.38510499999393,40.389811200031545,40.86128940002527,40.893842399993446,41.862139100034256,41.862139100034256,41.862139100034256,42.363353300024755,m,0.48701209999853745,None,,,Subject_02,001,2025-11-23_15h33.16.272,Semantic priming with gender association,,2025.1.1,59.607046498367,2025-11-23 15h33.53.272755 +0530,
