reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,1.796408899826929,None,0,0,0,1,0.09748240001499653,,0.09259980008937418,0.09748240001499653,1.0148658000398427,1.0148658000398427,1.0991847000550479,2.823322999989614,l,1.796408899826929,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
78,80,162,1,1,0,t,1.4798630001023412,None,0,1,1,6,2.8360751001164317,,2.831971599953249,2.8360751001164317,3.8365875999443233,3.8365875999443233,3.8365875999443233,5.32179809990339,t,1.4798630001023412,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
40,55,62,2,2,0,l,0.9508781000040472,None,0,2,2,3,5.3361770999617875,,5.327891800086945,5.3361770999617875,6.322590500116348,6.322590500116348,6.338538700016215,7.2896108001004905,l,0.9508781000040472,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
27,50,21,3,3,0,l,1.9818927999585867,None,0,3,3,2,7.305734599940479,,7.294376299949363,7.305734599940479,8.291851799935102,8.291851799935102,8.308571999892592,10.277813100023195,l,1.9818927999585867,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
49,60,89,4,4,0,t,1.3676634998992085,None,0,4,4,4,10.29128049989231,,10.28488210006617,10.29128049989231,11.277112300042063,11.277112300042063,11.294833899941295,12.662119900109246,t,1.3676634998992085,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
67,75,119,5,5,0,t,1.0199814999941736,None,0,5,5,5,12.680163499899209,,12.666331399930641,12.680163499899209,13.663860300090164,13.663860300090164,13.68097579991445,14.69877910008654,t,1.0199814999941736,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
11,30,7,6,6,0,l,0.5032569000031799,None,0,6,6,0,14.714449000079185,,14.703309800010175,14.714449000079185,15.700169400079176,15.700169400079176,15.716643000021577,16.217276300070807,l,0.5032569000031799,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
27,50,21,7,0,1,l,0.7410940998233855,None,1,0,7,2,16.233648099936545,,16.220836899941787,16.233648099936545,17.217586799990386,17.217586799990386,17.234479299979284,17.969942399999127,l,0.7410940998233855,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
67,75,119,8,1,1,t,0.7830968999769539,None,1,1,8,5,17.983337400015444,,17.973912100074813,17.983337400015444,18.986719500040635,18.986719500040635,18.986719500040635,19.77117080008611,t,0.7830968999769539,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
11,30,7,9,2,1,l,1.6170672001317143,None,1,2,9,0,19.786273800069466,,19.776021199999377,19.786273800069466,20.77155310008675,20.77155310008675,20.787990800105035,22.39087689993903,l,1.6170672001317143,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
49,60,89,10,3,1,t,2.538777200039476,None,1,3,10,4,22.40688670007512,,22.396233499981463,22.40688670007512,23.391228599939495,23.391228599939495,23.407709300052375,25.943875400116667,t,2.538777200039476,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
40,55,62,11,4,1,l,0.904892599908635,None,1,4,11,3,25.960779800079763,,25.94836140004918,25.960779800079763,26.946466200053692,26.946466200053692,26.960988099919632,27.863995499908924,l,0.904892599908635,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
15,35,13,12,5,1,l,0.7754458000417799,None,1,5,12,1,27.87830700003542,,27.868408600101247,27.87830700003542,28.880500399973243,28.880500399973243,28.880500399973243,29.664469300070778,l,0.7754458000417799,None,Subject 03,001,2025-11-07_15h47.04.041,untitled,,2025.1.1,59.839713363277625,2025-11-07 15h47.14.054663 +0530,
