pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.8119143000221811,None,0,0,0,0,,,,,0.016471299983095378,,0.012199199991300702,0.016471299983095378,1.0148315000114962,1.0148315000114962,1.0148315000114962,1.0148315000114962,1.0316599999787286,1.9982551999855787,1.9982551999855787,2.833999899972696,x,1,0.8119143000221811,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
150,v,1,1,0,v,1,0.368224999983795,None,0,1,1,1,,,,,2.8398853999678977,,2.8343217999790795,2.8398853999678977,3.8340398999862373,3.8340398999862373,3.8340398999862373,3.8340398999862373,3.8518640999682248,4.835789999982808,4.835789999982808,5.220490099978633,v,1,0.368224999983795,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
50,c,2,2,0,c,1,0.3553350000292994,None,0,2,2,2,,,,,5.235684000013862,,5.220933699980378,5.235684000013862,6.220773599983659,6.220773599983659,6.220773599983659,6.220773599983659,6.237604999972973,7.222582100017462,7.222582100017462,7.589214399980847,c,1,0.3553350000292994,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
-150,z,3,3,0,z,1,0.3256256000022404,None,0,3,3,3,,,,,7.605581899988465,,7.58952139999019,7.605581899988465,8.58980730001349,8.58980730001349,8.58980730001349,8.58980730001349,8.60671059996821,9.590549500018824,9.590549500018824,9.924658800009638,z,1,0.3256256000022404,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
-50,x,4,0,1,x,1,0.3419199999771081,None,1,0,4,0,,,,,9.94118460000027,,9.925022999988869,9.94118460000027,10.925125600013416,10.925125600013416,10.925125600013416,10.925125600013416,10.941870999988168,11.92710899998201,11.92710899998201,12.277993600000627,x,1,0.3419199999771081,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
150,v,5,1,1,v,1,0.06128629995509982,None,1,1,5,1,,,,,12.293269900023006,,12.278294899966568,12.293269900023006,13.278545600012876,13.278545600012876,13.278545600012876,13.278545600012876,13.295194700011052,14.279340600012802,14.279340600012802,14.346922900003847,v,1,0.06128629995509982,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
50,c,6,2,1,c,1,0.29123529995558783,None,1,2,6,2,,,,,14.362166800012346,,14.347230200015474,14.362166800012346,15.347453099966515,15.347453099966515,15.347453099966515,15.347453099966515,15.364143599988893,16.34834349999437,16.34834349999437,16.648754599969834,c,1,0.29123529995558783,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
-150,z,7,3,1,z,1,0.18799020000733435,None,1,3,7,3,,,,,16.665290499979164,,16.64907529996708,16.665290499979164,17.649369599996135,17.649369599996135,17.649369599996135,17.649369599996135,17.66628890001448,18.65100439998787,18.65100439998787,18.852187699987553,z,1,0.18799020000733435,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
-50,x,8,0,2,x,1,0.30219979997491464,None,2,0,8,0,,,,,18.86726179998368,,18.85262810002314,18.86726179998368,19.852450900012627,19.852450900012627,19.852450900012627,19.852450900012627,19.869252600008622,20.85329709999496,20.85329709999496,21.170544799999334,x,1,0.30219979997491464,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
150,v,9,1,2,v,1,0.0047061999794095755,None,2,1,9,1,,,,,21.186963999993168,,21.170990400016308,21.186963999993168,22.171005100011826,22.171005100011826,22.171005100011826,22.171005100011826,22.187865099986084,23.17210799996974,23.17210799996974,23.189118599984795,v,1,0.0047061999794095755,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
50,c,10,2,2,c,1,0.39607419999083504,None,2,2,10,2,,,,,23.205401799990796,,23.189432699989993,23.205401799990796,24.191160599992145,24.191160599992145,24.191160599992145,24.191160599992145,24.207248899969272,25.191613900009543,25.191613900009543,25.591999399999622,c,1,0.39607419999083504,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
-150,z,11,3,2,z,1,0.33912110002711415,None,2,3,11,3,,,,,25.608345000015106,,25.592404499999247,25.608345000015106,26.59327920002397,26.59327920002397,26.59327920002397,26.59327920002397,26.610249699966516,27.594470000010915,27.594470000010915,27.945109499967657,z,1,0.33912110002711415,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
-50,x,12,0,3,x,1,0.25870369997574016,None,3,0,12,0,,,,,27.961512100009713,,27.945634500007145,27.961512100009713,28.945364299986977,28.945364299986977,28.945364299986977,28.945364299986977,28.96211520000361,29.946477000019513,29.946477000019513,30.214652299997397,x,1,0.25870369997574016,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
150,v,13,1,3,v,1,0.28148399997735396,None,3,1,13,1,,,,,30.230823699967004,,30.215058800007682,30.230823699967004,31.21477199997753,31.21477199997753,31.21477199997753,31.21477199997753,31.231552099983674,32.215430499985814,32.215430499985814,32.499452899966855,v,1,0.28148399997735396,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
50,c,14,2,3,c,1,0.32465359999332577,None,3,2,14,2,,,,,32.51576699997531,,32.49975929997163,32.51576699997531,33.50093320000451,33.50093320000451,33.50093320000451,33.50093320000451,33.5168316999916,34.501763799984474,34.501763799984474,34.83574820001377,c,1,0.32465359999332577,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
-150,z,15,3,3,z,1,0.30144300003303215,None,3,3,15,3,,,,,34.85214009997435,,34.836135099991225,34.85214009997435,35.836320200003684,35.836320200003684,35.836320200003684,35.836320200003684,35.85306120000314,36.83744709996972,36.83744709996972,37.154538200004026,z,1,0.30144300003303215,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
-50,x,16,0,4,x,1,0.3110663999686949,None,4,0,16,0,,,,,37.17114910000237,,37.15485200000694,37.17114910000237,38.15598759998102,38.15598759998102,38.15598759998102,38.15598759998102,38.17179340001894,39.15698650002014,39.15698650002014,39.47405339998659,x,1,0.3110663999686949,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
150,v,17,1,4,v,1,0.2787199000013061,None,4,1,17,1,,,,,39.49051289999625,,39.474441699974705,39.49051289999625,40.47451039997395,40.47451039997395,40.47451039997395,40.47451039997395,40.49157080001896,41.47543320001569,41.47543320001569,41.76001779997023,v,1,0.2787199000013061,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
50,c,18,2,4,c,1,0.31997280003270134,None,4,2,18,2,,,,,41.77635850000661,,41.760453999973834,41.77635850000661,42.760691899980884,42.760691899980884,42.760691899980884,42.760691899980884,42.77750169998035,43.761487199983094,43.761487199983094,44.09587419999298,c,1,0.31997280003270134,None,,,,,Participant 05,001,2025-10-04_23h51.45.541,Motor sequence task,,2025.1.1,59.930839814476265,2025-10-04 23h51.57.942065 +0530,
