thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,Target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.31)],[np.float64(-0.42833333333333334)],[1],[0],[0],[2.142189199992572],['Target'],0,0,0,0,0.03231329999107402,,5,0.022748199990019202,0.03231329999107402,0.03231329999107402,0.022773399992729537,1.0439344999904279,2.16524919999938,[np.float64(-0.31)],[np.float64(-0.42833333333333334)],[1],[0],[0],[2.142189199992572],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
1,0,1,"[np.float64(0.32), np.float64(0.32083333333333336), np.float64(0.32666666666666666)]","[np.float64(-0.25833333333333336), np.float64(-0.2675), np.float64(-0.30416666666666664)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.240176999999676, 1.7249362000002293, 2.5735032000084175]","[None, None, 'Target']",1,0,1,0,2.203307899995707,,10,2.1916472999873804,2.203307899995707,2.203307899995707,0.02621769999677781,3.2130844999919645,4.765362999998615,"[np.float64(0.32), np.float64(0.32083333333333336), np.float64(0.32666666666666666)]","[np.float64(-0.25833333333333336), np.float64(-0.2675), np.float64(-0.30416666666666664)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.240176999999676, 1.7249362000002293, 2.5735032000084175]","[None, None, 'Target']",Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
2,0,2,[np.float64(0.4033333333333333)],[np.float64(-0.4575)],[1],[0],[0],[0.9608345000015106],['Target'],2,0,2,0,4.802999199993792,,10,4.7896681999991415,4.802999199993792,4.802999199993792,0.024109699996188283,,5.750749200000428,[np.float64(0.4033333333333333)],[np.float64(-0.4575)],[1],[0],[0],[0.9608345000015106],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
3,0,3,[np.float64(0.20166666666666666)],[np.float64(-0.050833333333333335)],[1],[0],[0],[0.8270170999894617],['Target'],3,0,3,0,5.788070299997344,,10,5.77593909999996,5.788070299997344,5.788070299997344,0.024972500003059395,,6.603123599998071,[np.float64(0.20166666666666666)],[np.float64(-0.050833333333333335)],[1],[0],[0],[0.8270170999894617],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
4,0,4,[np.float64(0.16666666666666666)],[np.float64(0.4691666666666667)],[1],[0],[0],[1.354161600000225],['Target'],4,0,4,0,6.625725599995349,,5,6.616872999991756,6.625725599995349,6.625725599995349,0.013601099999505095,7.634891900001094,7.971234199998435,[np.float64(0.16666666666666666)],[np.float64(0.4691666666666667)],[1],[0],[0],[1.354161600000225],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
5,0,5,"[np.float64(0.105), np.float64(0.11416666666666667)]","[np.float64(-0.10166666666666667), np.float64(-0.09916666666666667)]","[1, 1]","[0, 0]","[0, 0]","[1.1882163999980548, 1.621374599999399]","[None, 'Target']",5,0,5,0,7.991335599988815,,5,7.983487999998033,7.991335599988815,7.991335599988815,0.012131900002714247,9.003154999998515,9.605027300000074,"[np.float64(0.105), np.float64(0.11416666666666667)]","[np.float64(-0.10166666666666667), np.float64(-0.09916666666666667)]","[1, 1]","[0, 0]","[0, 0]","[1.1882163999980548, 1.621374599999399]","[None, 'Target']",Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
6,0,6,[np.float64(-0.3958333333333333)],[np.float64(0.43916666666666665)],[1],[0],[0],[1.5868713000090793],['Target'],6,0,6,0,9.629221999988658,,5,9.620053999999072,9.629221999988658,9.629221999988658,0.014888999998220243,10.637714899989078,11.207129599992186,[np.float64(-0.3958333333333333)],[np.float64(0.43916666666666665)],[1],[0],[0],[1.5868713000090793],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
7,0,7,[np.float64(-0.1675)],[np.float64(-0.285)],[1],[0],[0],[1.086957200008328],['Target'],7,0,7,0,11.231682400000864,,5,11.221860099991318,11.231682400000864,11.231682400000864,0.01456779999716673,12.239721799996914,12.309017899999162,[np.float64(-0.1675)],[np.float64(-0.285)],[1],[0],[0],[1.086957200008328],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
8,0,8,[np.float64(0.4791666666666667)],[np.float64(0.1175)],[1],[0],[0],[1.169762499994249],['Target'],8,0,8,0,12.334151099988958,,5,12.324543499998981,12.334151099988958,12.334151099988958,0.015342300001066178,13.341350099988631,13.494521599990549,[np.float64(0.4791666666666667)],[np.float64(0.1175)],[1],[0],[0],[1.169762499994249],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
9,0,9,[np.float64(0.15666666666666668)],[np.float64(0.2825)],[1],[0],[0],[1.001356200009468],['Target'],9,0,9,0,13.518968599993968,,5,13.509680999995908,13.518968599993968,13.518968599993968,0.014966800008551218,14.550816299990402,14.511209999996936,[np.float64(0.15666666666666668)],[np.float64(0.2825)],[1],[0],[0],[1.001356200009468],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
10,0,10,"[np.float64(-0.28833333333333333), np.float64(-0.245)]","[np.float64(-0.0875), np.float64(-0.07916666666666666)]","[1, 1]","[0, 0]","[0, 0]","[0.9242230000090785, 1.4400807000056375]","[None, 'Target']",10,0,10,0,14.550816299990402,,10,14.537502199993469,14.550816299990402,14.550816299990402,0.026146200005314313,15.55998429999454,15.977783499998623,"[np.float64(-0.28833333333333333), np.float64(-0.245)]","[np.float64(-0.0875), np.float64(-0.07916666666666666)]","[1, 1]","[0, 0]","[0, 0]","[0.9242230000090785, 1.4400807000056375]","[None, 'Target']",Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
11,0,11,[np.float64(-0.2875)],[np.float64(0.4266666666666667)],[1],[0],[0],[1.5108133999892743],['Target'],11,0,11,0,16.0154055999883,,10,16.002174299996113,16.0154055999883,16.0154055999883,0.02413410000735894,17.028940699994564,17.513174799998524,[np.float64(-0.2875)],[np.float64(0.4266666666666667)],[1],[0],[0],[1.5108133999892743],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
12,0,12,[np.float64(0.07416666666666667)],[np.float64(0.2175)],[1],[0],[0],[1.0213845999969635],['Target'],12,0,12,0,17.535549499996705,,5,17.52693989999534,17.535549499996705,17.535549499996705,0.013532200013287365,18.54628650000086,18.54847169999266,[np.float64(0.07416666666666667)],[np.float64(0.2175)],[1],[0],[0],[1.0213845999969635],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
13,0,13,[np.float64(0.07083333333333333)],[np.float64(-0.2225)],[1],[0],[0],[0.7765424999961397],['Target'],13,0,13,0,18.584626099996967,,10,18.57338419998996,18.584626099996967,18.584626099996967,0.02477099999669008,,19.350105699995765,[np.float64(0.07083333333333333)],[np.float64(-0.2225)],[1],[0],[0],[0.7765424999961397],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
14,0,14,[np.float64(0.46)],[np.float64(0.0016666666666666668)],[1],[0],[0],[0.8371558999933768],['Target'],14,0,14,0,19.373250599994208,,5,19.364212000000407,19.373250599994208,19.373250599994208,0.013963999997940846,,20.20158119998814,[np.float64(0.46)],[np.float64(0.0016666666666666668)],[1],[0],[0],[0.8371558999933768],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
15,0,15,[np.float64(-0.25416666666666665)],[np.float64(0.005)],[1],[0],[0],[0.9231381999998121],['Target'],15,0,15,0,20.239873099999386,,10,20.228353699989384,20.239873099999386,20.239873099999386,0.026657099995645694,,21.151705399999628,[np.float64(-0.25416666666666665)],[np.float64(0.005)],[1],[0],[0],[0.9231381999998121],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
16,0,16,[np.float64(-0.12583333333333332)],[np.float64(0.4075)],[1],[0],[0],[0.8903423000010662],['Target'],16,0,16,0,21.191163299998152,,10,21.178817199994228,21.191163299998152,21.191163299998152,0.026923899989924394,,22.06935629999498,[np.float64(-0.12583333333333332)],[np.float64(0.4075)],[1],[0],[0],[0.8903423000010662],['Target'],Participant 5,001,2025-09-30_13h49.18.868,visual search task,,2025.1.1,59.99613625258106,2025-09-30 13h49.33.210576 +0530,
