prime_word,prime_gender,target_image,target_gender,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,prime.started,fixation.stopped,prime.stopped,target_picture.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thankyou.started,text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003463700006250292,0.009243500011507422,0.009243500011507422,2.415398399985861,space,2.384034100046847,None,,,,,,,,,,,,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Mechanic,masculine,f1.jpg,female,0,0,0,f,1.2469921999727376,None,0,0,0,1,2.4418830000213347,,,,,,,,,2.436704399995506,2.4418830000213347,2.9265570000279695,2.9446261000121012,3.9283603000221774,3.9283603000221774,3.9283603000221774,5.179753599979449,f,1.2469921999727376,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Nanny,feminine,f9.jpg,female,1,1,0,m,0.9587190999882296,None,0,1,1,37,5.194206700020004,,,,,,,,,5.189240799983963,5.194206700020004,5.6795112999971025,5.696187500027008,6.680461400013883,6.680461400013883,6.680461400013883,7.649045100028161,m,0.9587190999882296,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Student,neutral,m2.jpg,male,2,2,0,m,0.9884979999624193,None,0,2,2,42,7.6688398999976926,,,,,,,,,7.66229690000182,7.6688398999976926,8.149815400014631,8.18271810002625,9.150250100006815,9.150250100006815,9.150250100006815,10.1538308999734,m,0.9884979999624193,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Blacksmith,masculine,f9.jpg,female,3,3,0,f,0.6773568000062369,None,0,3,3,17,10.168179099971894,,,,,,,,,10.164101900008973,10.168179099971894,10.668238200014457,10.668238200014457,11.670828600006644,11.65330319997156,11.65330319997156,12.337644900020678,f,0.6773568000062369,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Pilot,masculine,f8.jpeg,female,4,4,0,f,0.8456912999972701,None,0,4,4,15,12.353311499988195,,,,,,,,,12.345666599983815,12.353311499988195,12.837716099980753,12.85424299997976,13.839085699990392,13.839085699990392,13.839085699990392,14.690637800027616,f,0.8456912999972701,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Engineer,masculine,f3.jpg,female,5,5,0,f,0.11756639997474849,None,0,5,5,5,14.733903700020164,,,,,,,,,14.724718999990728,14.733903700020164,15.189896999974735,15.241723600018304,16.191084399993997,16.191084399993997,16.191084399993997,16.326203599979635,f,0.11756639997474849,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Teacher,feminine,m7.jpg,male,6,6,0,m,0.6316413999884389,None,0,6,6,32,16.342213800002355,,,,,,,,,16.33782670000801,16.342213800002355,16.825383600022178,16.842648299993016,17.8265640999889,17.8265640999889,17.8265640999889,18.4605890000239,m,0.6316413999884389,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Mechanic,masculine,m1.jpg,male,7,7,0,m,0.8081703999778256,None,0,7,7,0,18.47691309999209,,,,,,,,,18.471644999983255,18.47691309999209,18.961370099976193,18.977231599972583,19.96233690000372,19.96233690000372,19.96233690000372,20.78010809997795,m,0.8081703999778256,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Airshostess,feminine,f6.jpg,female,8,8,0,f,0.6098822999629192,None,0,8,8,31,20.79633779998403,,,,,,,,,20.790340100007597,20.79633779998403,21.279666299989913,21.297008999972604,22.281202799989842,22.281202799989842,22.281202799989842,22.899410100013483,f,0.6098822999629192,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Homemaker,feminine,f2.jpeg,female,9,9,0,f,0.4563675000099465,None,0,9,9,23,22.915666399989277,,,,,,,,,22.906946800008882,22.915666399989277,23.3994503999711,23.41625790001126,24.401107500016224,24.401107500016224,24.401107500016224,24.868230899970513,f,0.4563675000099465,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Blacksmith,masculine,m9.png,male,10,10,0,m,0.03547090000938624,None,0,10,10,16,24.910748599970248,,,,,,,,,24.904284099990036,24.910748599970248,25.368028600001708,25.417988699977286,26.368851199978963,26.368851199978963,26.368851199978963,26.419774400012102,m,0.03547090000938624,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Driver,masculine,f6.jpg,female,11,11,0,f,0.6104969999869354,None,0,11,11,11,26.438952299999073,,,,,,,,,26.433629899984226,26.438952299999073,26.91953180002747,26.952898300020024,27.92124509997666,27.92124509997666,27.92124509997666,28.538649199996144,f,0.6104969999869354,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Artist,neutral,m10.jpg,male,12,12,0,m,0.7445525000221096,None,0,12,12,38,28.576226599980146,,,,,,,,,28.568581699975766,28.576226599980146,29.038649099995382,29.08935309998924,30.0399740000139,30.0399740000139,30.0399740000139,30.791396000015084,m,0.7445525000221096,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Pilot,masculine,m8.jpg,male,13,13,0,m,1.2062885000486858,None,0,13,13,14,30.80746540002292,,,,,,,,,30.799162800016347,30.80746540002292,31.29111460002605,31.307754800014663,32.29226399998879,32.29226399998879,32.29226399998879,33.510628600022756,m,1.2062885000486858,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Ballerina,feminine,f10.jpg,female,14,14,0,f,0.4635437999968417,None,0,14,14,19,33.52693980000913,,,,,,,,,33.521089799993206,33.52693980000913,34.01063370000338,34.02726890001213,35.01170779997483,35.01170779997483,35.01170779997483,35.4794085000176,f,0.4635437999968417,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Librarian,feminine,f5.jpeg,female,15,15,0,f,0.7704134999657981,None,0,15,15,29,35.49524209997617,,,,,,,,,35.48700189997908,35.49524209997617,35.979825099988375,35.99642759998096,36.98082019999856,36.98082019999856,36.98082019999856,37.765268600021955,f,0.7704134999657981,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Babysitter,feminine,m1.jpg,male,16,16,0,m,0.3944393999991007,None,0,16,16,20,37.78144190000603,,,,,,,,,37.776409599988256,37.78144190000603,38.26512140000705,38.28188780002529,39.266934200015385,39.266934200015385,39.266934200015385,39.66740410000784,m,0.3944393999991007,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Hunter,masculine,m4.jpg,male,17,17,0,m,0.6078436000389047,None,0,17,17,6,39.68369769997662,,,,,,,,,39.6792143000057,39.68369769997662,40.16707610001322,40.183929999999236,41.16869929997483,41.16869929997483,41.16869929997483,41.7863618999836,m,0.6078436000389047,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Author,neutral,f1.jpg,female,18,18,0,f,0.5489087000023574,None,0,18,18,41,41.80265109997708,,,,,,,,,41.793681400013156,41.80265109997708,42.28648810001323,42.30312749999575,43.287310799991246,43.287310799991246,43.287310799991246,43.83846280002035,f,0.5489087000023574,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Republican,neutral,m5.jpeg,male,19,19,0,m,0.5286724999896251,None,0,19,19,48,43.85401409998303,,,,,,,,,43.84539610001957,43.85401409998303,44.338589199993294,44.355209600005765,45.339717699971516,45.339717699971516,45.339717699971516,45.87446479999926,m,0.5286724999896251,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Nanny,feminine,m9.png,male,20,20,0,m,0.684614000027068,None,0,20,20,36,45.92567319999216,,,,,,,,,45.918613000016194,45.92567319999216,46.37425940000685,46.44090769998729,47.37502520001726,47.37502520001726,47.37502520001726,48.060662999982014,m,0.684614000027068,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Babysitter,feminine,f1.jpg,female,21,21,0,f,0.5592509999987669,None,0,21,21,21,48.076673900010064,,,,,,,,,48.066960100026336,48.076673900010064,48.560466499999166,48.5773302000016,49.561187400016934,49.561187400016934,49.561187400016934,50.12920510000549,f,0.5592509999987669,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Ballerina,feminine,m10.jpg,male,22,22,0,f,1.1612132000154816,None,0,22,22,18,50.164889200008474,,,,,,,,,50.158306500001345,50.164889200008474,50.629091100010555,50.679006799997296,51.630082299991045,51.630082299991045,51.630082299991045,52.798938299994916,f,1.1612132000154816,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
Prostitute,feminine,f8.jpeg,female,23,23,0,f,0.9638317000353709,None,0,23,23,35,52.81469799997285,,,,,,,,,52.80822970002191,52.81469799997285,53.298957300023176,53.315564599994104,54.3009960000054,54.3009960000054,54.3009960000054,55.268309900013264,f,0.9638317000353709,None,,,Subject_03,001,2025-11-23_16h21.20.695,Semantic priming with gender association,,2025.1.1,59.63889838395441,2025-11-23 16h21.32.335676 +0530,
