pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.6015251000062563,None,0,0,0,0,,,,,0.023376099998131394,,0.01258769998094067,0.023376099998131394,1.0092812000075355,1.0092812000075355,1.0092812000075355,1.0092812000075355,1.0251037999987602,2.010885800002143,2.010885800002143,2.801367799984291,x,1,0.6015251000062563,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
150,v,1,1,0,v,1,0.3100389000028372,None,0,1,1,1,,,,,2.807087799999863,,2.8018159000203013,2.807087799999863,3.812568800000008,3.812568800000008,3.812568800000008,3.812568800000008,3.812568800000008,4.812575499992818,4.812575499992818,5.130387099983636,v,1,0.3100389000028372,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
50,c,2,2,0,c,1,0.3208608999848366,None,0,2,2,2,,,,,5.145732500008307,,5.130838299985044,5.145732500008307,6.130036999995355,6.130036999995355,6.130036999995355,6.130036999995355,6.148655100027099,7.133928600000218,7.133928600000218,7.466597100021318,c,1,0.3208608999848366,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-150,z,3,3,0,z,1,0.2984623000374995,None,0,3,3,3,,,,,7.4820562999811955,,7.467118700034916,7.4820562999811955,8.468177900009323,8.468177900009323,8.468177900009323,8.468177900009323,8.4834912000224,9.468752400018275,9.468752400018275,9.769398500036914,z,1,0.2984623000374995,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-50,x,4,0,1,x,1,0.292144599952735,None,1,0,4,0,,,,,9.784780799993314,,9.769921900006011,9.784780799993314,10.785649900033604,10.785649900033604,10.785649900033604,10.785649900033604,10.785649900033604,11.770789200032596,11.770789200032596,12.071305899997242,x,1,0.292144599952735,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
150,v,5,1,1,v,1,0.2522758000413887,None,1,1,5,1,,,,,12.086341899994295,,12.07172750000609,12.086341899994295,13.073454099998344,13.073454099998344,13.073454099998344,13.073454099998344,13.088866600010078,14.072394500020891,14.072394500020891,14.340945000003558,v,1,0.2522758000413887,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
50,c,6,2,1,c,1,0.2978669999865815,None,1,2,6,2,,,,,14.357211199996527,,14.341453100030776,14.357211199996527,15.341645599983167,15.341645599983167,15.341645599983167,15.341645599983167,15.357954800012521,16.34142830001656,16.34142830001656,16.642228199983947,c,1,0.2978669999865815,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-150,z,7,3,1,z,1,0.2831696000066586,None,1,3,7,3,,,,,16.658090199984144,,16.642701300035696,16.658090199984144,17.643128100025933,17.643128100025933,17.643128100025933,17.643128100025933,17.659568100003526,18.643580400035717,18.643580400035717,18.927752799994778,z,1,0.2831696000066586,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-50,x,8,0,2,x,1,0.38392160000512376,None,2,0,8,0,,,,,18.94451110000955,,18.928148499981035,18.94451110000955,19.92897000000812,19.92897000000812,19.92897000000812,19.92897000000812,19.945482400013134,20.92927660001442,20.92927660001442,21.33068880002247,x,1,0.38392160000512376,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
150,v,9,1,2,v,1,0.36759099998744205,None,2,1,9,1,,,,,21.34678050002549,,21.33126300002914,21.34678050002549,22.33117120002862,22.33117120002862,22.33117120002862,22.33117120002862,22.347320600005332,23.333835099998396,23.333835099998396,23.717356999986805,v,1,0.36759099998744205,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
50,c,10,2,2,c,1,0.14118440001038834,None,2,2,10,2,,,,,23.73360480001429,,23.717848100000992,23.73360480001429,24.71677030000137,24.71677030000137,24.71677030000137,24.71677030000137,24.733584000030532,25.717605900019407,25.717605900019407,25.868432399991434,c,1,0.14118440001038834,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-150,z,11,3,2,z,1,0.49267010000767186,None,2,3,11,3,,,,,25.885524299985263,,25.868929099990055,25.885524299985263,26.869494099984877,26.869494099984877,26.869494099984877,26.869494099984877,26.886295899981633,27.870554400025867,27.870554400025867,28.3715297000017,z,1,0.49267010000767186,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-50,x,12,0,3,x,1,0.24604469997575507,None,3,0,12,0,,,,,28.38764660002198,,28.371989500010386,28.38764660002198,29.372063199989498,29.372063199989498,29.372063199989498,29.372063199989498,29.388803499983624,30.372945400013123,30.372945400013123,30.623609200003557,x,1,0.24604469997575507,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
150,v,13,1,3,v,1,0.37448609998682514,None,3,1,13,1,,,,,30.64001420000568,,30.624112299992703,30.64001420000568,31.624483300023712,31.624483300023712,31.624483300023712,31.624483300023712,31.64104060002137,32.62527980003506,32.62527980003506,33.01066929998342,v,1,0.37448609998682514,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
50,c,14,2,3,c,1,0.3178188999881968,None,3,2,14,2,,,,,33.02648569998564,,33.01130640000338,33.02648569998564,34.010302799986675,34.010302799986675,34.010302799986675,34.010302799986675,34.02791750000324,35.011527199996635,35.011527199996635,35.345620699983556,c,1,0.3178188999881968,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-150,z,15,3,3,z,1,0.2470956000033766,None,3,3,15,3,,,,,35.36242070002481,,35.34607379999943,35.36242070002481,36.346260000020266,36.346260000020266,36.346260000020266,36.346260000020266,36.36333890003152,37.34799430001294,37.34799430001294,37.59820810001111,z,1,0.2470956000033766,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-50,x,16,0,4,x,1,0.522165100031998,None,4,0,16,0,,,,,37.61502510000719,,37.598594399983995,37.61502510000719,38.59881569998106,38.59881569998106,38.59881569998106,38.59881569998106,38.61668999999529,39.59970409999369,39.59970409999369,40.135117000027094,x,1,0.522165100031998,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
150,v,17,1,4,v,1,0.5215005000354722,None,4,1,17,1,,,,,40.150808200007305,,40.13558599998942,40.150808200007305,41.135370999982115,41.135370999982115,41.135370999982115,41.135370999982115,41.151724499999546,42.13598269998329,42.13598269998329,42.671465300023556,v,1,0.5215005000354722,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
50,c,18,2,4,c,1,0.2936072999727912,None,4,2,18,2,,,,,42.68708050000714,,42.67201209999621,42.68708050000714,43.671782799996436,43.671782799996436,43.671782799996436,43.671782799996436,43.68891640001675,44.67328600003384,44.67328600003384,44.97523929999443,c,1,0.2936072999727912,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-150,z,19,3,4,z,1,0.39614859997527674,None,4,3,19,3,,,,,44.98862880002707,,44.97574160003569,44.98862880002707,45.99126580002485,45.99126580002485,45.99126580002485,45.99126580002485,45.99126580002485,46.97694970003795,46.97694970003795,47.375484900025185,z,1,0.39614859997527674,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-50,x,20,0,5,x,1,0.22210310003720224,None,5,0,20,0,,,,,47.39230599999428,,47.37595200003125,47.39230599999428,48.37690929998644,48.37690929998644,48.37690929998644,48.37690929998644,48.39275940001244,49.377788899990264,49.377788899990264,49.611118000000715,x,1,0.22210310003720224,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
150,v,21,1,5,v,1,0.2783557000220753,None,5,1,21,1,,,,,49.62810090003768,,49.61157569999341,49.62810090003768,50.612214100023266,50.612214100023266,50.612214100023266,50.612214100023266,50.63064129999839,51.613715299987234,51.613715299987234,51.89771270001074,v,1,0.2783557000220753,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
50,c,22,2,5,c,1,0.30225430004065856,None,5,2,22,2,,,,,51.91358300001593,,51.898149300017394,51.91358300001593,52.9003909000312,52.9003909000312,52.9003909000312,52.9003909000312,52.9143369999947,53.89865849999478,53.89865849999478,54.21659259998705,c,1,0.30225430004065856,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-150,z,23,3,5,z,1,0.25106629997026175,None,5,3,23,3,,,,,54.233204999996815,,54.216975199989974,54.233204999996815,55.21770680003101,55.21770680003101,55.21770680003101,55.21770680003101,55.23405249998905,56.2184447000036,56.2184447000036,56.48589880001964,z,1,0.25106629997026175,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-50,x,24,0,6,x,1,0.22788040002342314,None,6,0,24,0,,,,,56.501953800034244,,56.48637380002765,56.501953800034244,57.48618260002695,57.48618260002695,57.48618260002695,57.48618260002695,57.50289559998782,58.48729319998529,58.48729319998529,58.722047900024336,x,1,0.22788040002342314,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
150,v,25,1,6,v,1,0.35828779998701066,None,6,1,25,1,,,,,58.73824959999183,,58.7226013999898,58.73824959999183,59.722365299996454,59.722365299996454,59.722365299996454,59.722365299996454,59.73843670001952,60.72299430001294,60.72299430001294,61.091386699990835,v,1,0.35828779998701066,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
50,c,26,2,6,c,1,0.31846460001543164,None,6,2,26,2,,,,,61.10687429999234,,61.09185880003497,61.10687429999234,62.091415200033225,62.091415200033225,62.091415200033225,62.091415200033225,62.1084114999976,63.09206070000073,63.09206070000073,63.426381000026595,c,1,0.31846460001543164,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-150,z,27,3,6,z,1,0.28069879999384284,None,6,3,27,3,,,,,63.442833899986,,63.42684550001286,63.442833899986,64.42748280003434,64.42748280003434,64.42748280003434,64.42748280003434,64.44427089998499,65.42876919999253,65.42876919999253,65.71220670000184,z,1,0.28069879999384284,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
-50,x,28,0,7,x,1,0.30561910005053505,None,7,0,28,0,,,,,65.72864039998967,,65.71268709999276,65.72864039998967,66.71357850002823,66.71357850002823,66.71357850002823,66.71357850002823,66.72975589998532,67.71541080001043,67.71541080001043,68.03209180000704,x,1,0.30561910005053505,None,,,,,Participant 04,001,2025-10-04_19h29.47.687,Motor sequence task,,2025.1.1,59.944886677217596,2025-10-04 19h36.24.288429 +0530,
