reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,3.8472902001813054,None,0,0,0,1,0.12183440010994673,,0.11663020006380975,0.12183440010994673,1.0041318000294268,1.0041318000294268,1.1214874999132007,4.88341880007647,l,3.8472902001813054,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
78,80,162,1,1,0,t,2.339737500064075,None,0,1,1,6,4.897463500034064,,4.893368300050497,4.897463500034064,5.897472399985418,5.897472399985418,5.9114006999880075,8.247430500108749,t,2.339737500064075,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
67,75,119,2,2,0,t,3.5169494000729173,None,0,2,2,5,8.262422299943864,,8.253396000014618,8.262422299943864,9.247962099965662,9.247962099965662,9.264423999935389,12.769449499901384,t,3.5169494000729173,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
11,30,7,3,3,0,l,4.162679200060666,None,0,3,3,0,12.78485790011473,,12.774202200118452,12.78485790011473,13.76871949993074,13.76871949993074,13.787164899986237,17.94134539994411,l,4.162679200060666,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
27,50,21,4,4,0,l,4.060611499939114,None,0,4,4,2,17.959383399924263,,17.946184900123626,17.959383399924263,18.941726899938658,18.941726899938658,18.958644200116396,23.01603850000538,l,4.060611499939114,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
40,55,62,5,5,0,t,5.946299600182101,None,0,5,5,3,23.02883669990115,,23.02282080007717,23.02883669990115,24.03067660005763,24.03067660005763,24.03067660005763,29.990155700128525,t,5.946299600182101,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
49,60,89,6,6,0,t,5.411746600177139,None,0,6,6,4,30.00284199998714,,29.995030800113454,30.00284199998714,30.98839500010945,30.98839500010945,31.007265500025824,36.4104802000802,t,5.411746600177139,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
11,30,7,7,0,1,l,0.8462436001282185,None,1,0,7,0,36.42852369998582,,36.413926100125536,36.42852369998582,37.41215330013074,37.41215330013074,37.429366500116885,38.264700199943036,l,0.8462436001282185,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
49,60,89,8,1,1,t,7.308091399958357,None,1,1,8,4,38.28215160011314,,38.26954920007847,38.28215160011314,39.26647050003521,39.26647050003521,39.2808618999552,46.589741700096056,t,7.308091399958357,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
15,35,13,9,2,1,l,2.150645200163126,None,1,2,9,1,46.605477900011465,,46.59358790004626,46.605477900011465,47.59059510007501,47.59059510007501,47.60624810005538,49.742367200087756,l,2.150645200163126,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
40,55,62,10,3,1,t,1.5602096000220627,None,1,3,10,3,49.75912440009415,,49.74621740006842,49.75912440009415,50.74257989996113,50.74257989996113,50.76112650008872,52.3129300000146,t,1.5602096000220627,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
27,50,21,11,4,1,l,5.352425499819219,None,1,4,11,2,52.329655800014734,,52.318121100077406,52.329655800014734,53.311851100064814,53.311851100064814,53.34676109999418,58.66854330012575,l,5.352425499819219,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
67,75,119,12,5,1,t,0.9430732999462634,None,1,5,12,5,58.68470530002378,,58.67279709991999,58.68470530002378,59.66924560000189,59.66924560000189,59.68826680001803,60.62341540004127,t,0.9430732999462634,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
78,80,162,13,6,1,t,0.46409140015020967,None,1,6,13,6,60.636782200075686,,60.627649100031704,60.636782200075686,61.62121569993906,61.62121569993906,61.63957830006257,62.09162680013105,t,0.46409140015020967,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
11,30,7,14,0,2,l,0.6026129999663681,None,2,0,14,0,62.10494540003128,,62.09548519994132,62.10494540003128,63.09112840006128,63.09112840006128,63.10768790007569,63.709117399994284,l,0.6026129999663681,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
15,35,13,15,1,2,l,0.6757828998379409,None,2,1,15,1,63.72583299991675,,63.71256319992244,63.72583299991675,64.70935170003213,64.70935170003213,64.72616830002517,65.39297739998437,l,0.6757828998379409,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
49,60,89,16,2,2,t,0.5263978999573737,None,2,2,16,4,65.40946449991316,,65.3977238999214,65.40946449991316,66.39350249990821,66.39350249990821,66.4101040000096,66.9276852000039,t,0.5263978999573737,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
40,55,62,17,3,2,t,0.46932100015692413,None,2,3,17,3,66.943965600105,,66.93213309999555,66.943965600105,67.92793729994446,67.92793729994446,67.9461113999132,68.41270749992691,t,0.46932100015692413,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
67,75,119,18,4,2,t,0.43402189994230866,None,2,4,18,5,68.42955980007537,,68.41606090008281,68.42955980007537,69.41471370006911,69.41471370006911,69.43081789999269,69.86503749992698,t,0.43402189994230866,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
78,80,162,19,5,2,t,0.3513708000537008,None,2,5,19,6,69.88128899992444,,69.8687893000897,69.88128899992444,70.86626509996131,70.86626509996131,70.88282840000466,71.21893210010603,t,0.3513708000537008,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
27,50,21,20,6,2,l,0.7071461000014096,None,2,6,20,2,71.23141120001674,,71.22287039994262,71.23141120001674,72.23639749991708,72.23639749991708,72.23639749991708,72.95131559995934,l,0.7071461000014096,None,Subject 01,001,2025-11-07_12h05.15.999,untitled,,2025.1.1,59.93823961420234,2025-11-07 12h05.42.023248 +0530,
